140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius_PV_HP_EV 1 | Dinamični | 10 kWh] peak_shaving                      726.82 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] self_consumption                  948.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 10 kWh] self_consumption_peak_shaving     636.82 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] fixed_schedule                    881.29 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 10 kWh] price_oracle                      644.19 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] delayed_pv_charge                 951.47 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 20 kWh] milp_full_period                  338.96 EUR  (  47.6 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] price_threshold                   861.23 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] no_battery                        448.18 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] price_rank_daily                  817.74 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] self_consumption                  341.92 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] peak_shaving                     1006.62 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] fixed_schedule                    427.18 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] self_consumption_peak_shaving     943.92 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] delayed_pv_charge                 342.10 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] price_oracle                      838.95 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] price_threshold                   369.54 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] price_rank_daily                  341.92 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] peak_shaving                      434.25 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] self_consumption_peak_shaving     345.27 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] price_oracle                      370.32 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 10 kWh] milp_full_period                  480.40 EUR  (  27.5 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] no_battery                        804.90 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] self_consumption                  649.35 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Aktivni | 30 kWh] milp_full_period                 -103.91 EUR  (  32.5 s)
[118/140] Fluvius_PV_HP_user_005_aktivni.csv (40 rows)  (3461s elapsed)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] fixed_schedule                    759.60 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] delayed_pv_charge                 670.92 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] price_threshold                   661.95 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] price_rank_daily                  622.33 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] no_battery                        729.64 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] peak_shaving                      783.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] self_consumption                  635.01 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] self_consumption_peak_shaving     647.24 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] fixed_schedule                    673.38 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Redni 1T | 30 kWh] milp_full_period                  762.00 EUR  (  43.8 s)
[119/140] Fluvius_PV_HP_user_004_redni1t.csv (40 rows)  (3470s elapsed)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] price_oracle                      662.36 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] delayed_pv_charge                 640.30 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] price_threshold                   657.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] price_rank_daily                  635.01 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] peak_shaving                      710.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] no_battery                       1099.94 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] self_consumption_peak_shaving     644.60 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] self_consumption                  976.73 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] price_oracle                      658.39 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] fixed_schedule                    985.06 EUR  (   1.5 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] delayed_pv_charge                1009.90 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] price_threshold                  1008.19 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] price_rank_daily                  962.52 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] peak_shaving                     1087.59 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] self_consumption_peak_shaving    1017.88 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] price_oracle                     1000.63 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 20 kWh] milp_full_period                  292.80 EUR  ( 164.1 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] no_battery                        804.17 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] self_consumption                  806.86 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] fixed_schedule                    736.93 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] delayed_pv_charge                 807.30 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 20 kWh] milp_full_period                  322.46 EUR  (  29.3 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] price_threshold                   726.16 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] price_rank_daily                  708.16 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] no_battery                        804.90 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] peak_shaving                      790.14 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] self_consumption                  648.79 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Redni 1T | 30 kWh] milp_full_period                  335.65 EUR  (  48.4 s)
[120/140] Fluvius_PV_HP_user_005_redni1t.csv (40 rows)  (3504s elapsed)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] self_consumption_peak_shaving     796.28 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] fixed_schedule                    759.39 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] price_oracle                      706.78 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] delayed_pv_charge                 669.87 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] price_threshold                   662.87 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 5 kWh] milp_full_period                  627.96 EUR  (  29.9 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] price_rank_daily                  643.82 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] no_battery                       1332.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] no_battery                        729.64 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] peak_shaving                      783.26 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] self_consumption                 1132.78 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] self_consumption                  612.37 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] self_consumption_peak_shaving     646.67 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] fixed_schedule                   1229.60 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] fixed_schedule                    671.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] price_oracle                      662.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] delayed_pv_charge                1177.62 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] delayed_pv_charge                 613.46 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] price_threshold                  1177.81 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] price_threshold                   642.61 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] price_rank_daily                 1128.40 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] price_rank_daily                  612.37 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] peak_shaving                     1320.16 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] peak_shaving                      707.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] self_consumption_peak_shaving    1204.71 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] self_consumption_peak_shaving     615.96 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] price_oracle                     1178.01 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] price_oracle                      643.48 EUR  (   1.4 s)
  [Fluvius_PV_HP 1 | Dinamični | 30 kWh] milp_full_period                  148.52 EUR  ( 202.9 s)
[121/140] Fluvius_PV_HP_user_001.csv (40 rows)  (3523s elapsed)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] no_battery                       1103.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] self_consumption                  995.16 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] fixed_schedule                   1041.97 EUR  (   1.5 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] delayed_pv_charge                1003.90 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] price_threshold                  1017.18 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] price_rank_daily                  995.16 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] peak_shaving                     1093.04 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] self_consumption_peak_shaving    1032.97 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] price_oracle                     1017.98 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Aktivni | 30 kWh] milp_full_period                  169.37 EUR  (  31.8 s)
[122/140] Fluvius_PV_HP_EV_user_001_aktivni.csv (40 rows)  (3545s elapsed)
  [Fluvius_PV_HP_EV 2 | Aktivni | 5 kWh] milp_full_period                 1066.16 EUR  (  28.5 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] no_battery                       1510.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] no_battery                       1332.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] self_consumption                 1412.12 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] self_consumption                 1069.67 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] fixed_schedule                   1432.77 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] fixed_schedule                   1248.28 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] delayed_pv_charge                1433.24 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] delayed_pv_charge                1113.68 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] price_threshold                  1434.47 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] price_threshold                  1113.66 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] price_rank_daily                 1399.61 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 5 kWh] milp_full_period                  823.25 EUR  (  70.7 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 10 kWh] milp_full_period                  606.70 EUR  (  36.8 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] price_rank_daily                 1054.36 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] peak_shaving                     1494.51 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] no_battery                       1099.94 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] peak_shaving                     1307.88 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] no_battery                        729.64 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] self_consumption_peak_shaving    1428.34 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] self_consumption                  936.18 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] self_consumption_peak_shaving    1120.66 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] self_consumption                  606.66 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] price_oracle                     1426.64 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] fixed_schedule                    964.01 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] price_oracle                     1113.89 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] fixed_schedule                    681.01 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 10 kWh] milp_full_period                  107.83 EUR  ( 187.2 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] delayed_pv_charge                 970.54 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] delayed_pv_charge                 607.05 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] price_threshold                   976.13 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] price_threshold                   631.91 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] no_battery                        510.14 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] price_rank_daily                  912.76 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] price_rank_daily                  606.66 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] self_consumption                  396.75 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 5 kWh] milp_full_period                  979.89 EUR  (  27.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] peak_shaving                     1077.97 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] peak_shaving                      706.49 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] fixed_schedule                    383.56 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] no_battery                       1103.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] self_consumption_peak_shaving     964.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] self_consumption_peak_shaving     609.37 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] delayed_pv_charge                 404.67 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] self_consumption                  951.69 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Dinamični | 10 kWh] price_oracle                      965.48 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] price_oracle                      632.71 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] price_threshold                   394.28 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] fixed_schedule                   1044.38 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] price_rank_daily                  362.83 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] delayed_pv_charge                 957.21 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] peak_shaving                      495.23 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] price_threshold                   989.50 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] self_consumption_peak_shaving     403.60 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] price_rank_daily                  951.69 EUR  (   1.4 s)
  [Fluvius_PV_HP 5 | Dinamični | 20 kWh] price_oracle                      385.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] peak_shaving                     1083.21 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] self_consumption_peak_shaving     984.92 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] price_oracle                      990.75 EUR  (   1.4 s)
  [Fluvius_PV_HP 4 | Dinamični | 30 kWh] milp_full_period                  153.50 EUR  (  79.1 s)
[123/140] Fluvius_PV_HP_user_004.csv (40 rows)  (3585s elapsed)
  [Fluvius_PV_HP_EV 2 | Aktivni | 10 kWh] milp_full_period                  907.03 EUR  (  27.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] no_battery                       1784.83 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] self_consumption                 1618.82 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] no_battery                       1332.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] fixed_schedule                   1728.26 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] self_consumption                 1051.69 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] delayed_pv_charge                1652.80 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] fixed_schedule                   1263.54 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] price_threshold                  1644.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] delayed_pv_charge                1086.42 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] price_rank_daily                 1605.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] price_threshold                  1072.37 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] peak_shaving                     1766.55 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] price_rank_daily                 1022.98 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] self_consumption_peak_shaving    1656.90 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] peak_shaving                     1297.34 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] price_oracle                     1643.73 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] self_consumption_peak_shaving    1062.86 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] price_oracle                     1072.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 10 kWh] milp_full_period                  935.16 EUR  (  28.3 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] no_battery                       1103.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] self_consumption                  927.65 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 10 kWh] milp_full_period                  369.72 EUR  ( 170.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] fixed_schedule                   1054.58 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] no_battery                        744.26 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] delayed_pv_charge                 929.56 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] self_consumption                  636.55 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] price_threshold                   974.30 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 20 kWh] milp_full_period                  600.82 EUR  (  45.2 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] fixed_schedule                    588.28 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] price_rank_daily                  927.65 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] no_battery                        729.64 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] delayed_pv_charge                 656.02 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] peak_shaving                     1074.47 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] self_consumption                  604.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] price_threshold                   630.74 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] self_consumption_peak_shaving     939.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] fixed_schedule                    682.22 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] price_rank_daily                  591.60 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Redni 1T | 20 kWh] price_oracle                      975.48 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] delayed_pv_charge                 605.07 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] peak_shaving                      726.31 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] price_threshold                   630.21 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] self_consumption_peak_shaving     634.20 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] price_rank_daily                  604.79 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Dinamični | 20 kWh] price_oracle                      614.52 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] peak_shaving                      705.98 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] self_consumption_peak_shaving     607.13 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 5 kWh] milp_full_period                 1524.77 EUR  (  27.4 s)
  [Fluvius_PV_HP_EV 1 | Redni 1T | 30 kWh] price_oracle                      631.01 EUR  (   1.4 s)
  [Fluvius_PV_HP 3 | Dinamični | 30 kWh] milp_full_period                  295.28 EUR  ( 180.6 s)
[124/140] Fluvius_PV_HP_user_003.csv (40 rows)  (3630s elapsed)
  [Fluvius_PV_HP_EV 2 | Aktivni | 20 kWh] milp_full_period                  697.87 EUR  (  27.5 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] no_battery                       1784.83 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] self_consumption                 1576.44 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] no_battery                       1332.63 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] fixed_schedule                   1736.71 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 5 kWh] milp_full_period                 1256.36 EUR  (  72.6 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] self_consumption                 1044.69 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] no_battery                       1502.35 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] delayed_pv_charge                1607.59 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] fixed_schedule                   1260.39 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] no_battery                       1510.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] self_consumption                 1406.51 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] price_threshold                  1588.28 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] delayed_pv_charge                1078.34 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] self_consumption                 1384.39 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] fixed_schedule                   1468.06 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Aktivni | 10 kWh] price_rank_daily                 1544.97 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 2 | Aktivni | 30 kWh] price_threshold                  1060.52 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Dinamični | 10 kWh] fixed_schedule                   1406.87 EUR  (   1.4 s)
  [Fluvius_PV_HP_EV 3 | Redni 1T | 5 kWh] delayed_pv_charge                1412.78 EUR  (   1.4 s)
