140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 3 | Aktivni | 10 kWh] delayed_pv_charge                 676.72 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 10 kWh] delayed_pv_charge                 590.88 EUR  (   1.9 s)
  [Fluvius 1 | Aktivni | 10 kWh] fixed_schedule                    604.91 EUR  (   2.0 s)
  [Fluvius 1 | Redni 2T | 10 kWh] delayed_pv_charge                 521.47 EUR  (   2.0 s)
  [Fluvius 2 | Redni 2T | 10 kWh] price_threshold                   566.14 EUR  (   2.0 s)
  [Fluvius 2 | Aktivni | 10 kWh] price_threshold                   473.71 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 10 kWh] price_threshold                   521.38 EUR  (   2.0 s)
  [Fluvius 1 | Aktivni | 10 kWh] delayed_pv_charge                 554.23 EUR  (   2.0 s)
  [Fluvius 1 | Redni 2T | 10 kWh] price_threshold                   501.63 EUR  (   2.0 s)
  [Fluvius 2 | Redni 2T | 10 kWh] price_rank_daily                  571.32 EUR  (   2.0 s)
  [Fluvius 2 | Aktivni | 10 kWh] price_rank_daily                  474.99 EUR  (   2.0 s)
  [Fluvius 3 | Aktivni | 10 kWh] price_rank_daily                  532.11 EUR  (   2.1 s)
  [Fluvius 1 | Aktivni | 10 kWh] price_threshold                   426.19 EUR  (   1.8 s)
  [Fluvius 1 | Redni 2T | 10 kWh] price_rank_daily                  506.66 EUR  (   1.9 s)
  [Fluvius 2 | Redni 2T | 10 kWh] peak_shaving                      581.85 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 10 kWh] peak_shaving                      591.73 EUR  (   2.0 s)
  [Fluvius 1 | Aktivni | 10 kWh] price_rank_daily                  425.83 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 10 kWh] peak_shaving                      672.44 EUR  (   1.9 s)
  [Fluvius 1 | Redni 2T | 10 kWh] peak_shaving                      515.23 EUR  (   1.9 s)
  [Fluvius 2 | Redni 2T | 10 kWh] self_consumption_peak_shaving     581.95 EUR  (   1.9 s)
  [Fluvius 1 | Aktivni | 10 kWh] peak_shaving                      551.27 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 10 kWh] self_consumption_peak_shaving     591.84 EUR  (   2.0 s)
  [Fluvius 3 | Aktivni | 10 kWh] self_consumption_peak_shaving     672.63 EUR  (   1.9 s)
  [Fluvius 1 | Redni 2T | 10 kWh] self_consumption_peak_shaving     515.25 EUR  (   1.9 s)
  [Fluvius 2 | Redni 2T | 10 kWh] price_oracle                      565.75 EUR  (   1.9 s)
  [Fluvius 1 | Aktivni | 10 kWh] self_consumption_peak_shaving     551.38 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 10 kWh] price_oracle                      473.32 EUR  (   1.9 s)
