scenario,household_id,interval_minutes,pv_scale,scheme,paket_id,contracted_power_kw,total_consumption_kwh,total_generation_kwh,total_imported_kwh,total_exported_kwh,peak_import_kw,energy_eur,power_eur,fixed_eur,credit_eur,total_cost_eur,segment,has_pv,battery_kwh,dataset,Actual_Load_kWh,Actual_PV_kWh,Scenario,role,neto_eur,ddv_eur,bruto_eur,dobropis_eur,fiksni_del_eur,spremenljivi_del_eur,prevzeto_kwh,oddano_kwh,deljeno_kwh,neizrabljeno_kwh,lastna_raba_kwh
redni,Fluvius_PV_HP_008,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.4346666666666668,3612.248999999961,1139.979999999992,3531.340999999961,1059.0719999999953,5.152,476.7933176111967,5.372923934000001,149.60676468117538,57.083980799999935,631.7730062263003,Fluvius_PV_HP,True,0.0,Fluvius_PV_HP,3612.249,1139.98,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_009,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,5.498666666666666,2865.202999999832,3546.161000000056,2846.253999999838,3527.212000000009,8.248,244.43364512900268,9.767562616000001,230.80078954594737,190.11672680000103,485.0019972908622,Fluvius_PV_HP,True,0.0,Fluvius_PV_HP,2865.203,3546.161,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_010,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,5.093333333333333,2819.539999999956,2181.9990000000066,2687.6589999999637,2050.117999999992,7.64,297.63943580539495,4.440341108,214.85570848920764,110.50136019999968,516.9354854026943,Fluvius_PV_HP,True,0.0,Fluvius_PV_HP,2819.54,2181.999,Redni,,,,,,,,,,,,
aktivni,Fluvius_001,15.0,1.0,si_dobava,GENI_AKTIVNI,3.0506666666666664,2254.7309999999115,0.0,2254.7309999999115,0.0,4.576,359.3458324093834,3.16304863,134.50089976738263,0.0,497.0097808067993,Fluvius,False,0.0,Fluvius,2254.731,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_002,15.0,1.0,si_dobava,GENI_AKTIVNI,3.3653333333333335,2513.379999999965,0.0,2513.379999999965,0.0,5.048,365.9664051040026,5.9330233759999995,146.8793173329802,0.0,518.7787458130074,Fluvius,False,0.0,Fluvius,2513.38,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_003,15.0,1.0,si_dobava,GENI_AKTIVNI,4.0,2863.60899999996,0.0,2863.60899999996,0.0,6.0,451.2325868297944,4.65415902,171.8459559433186,0.0,627.7327017930154,Fluvius,False,0.0,Fluvius,2863.609,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_004,15.0,1.0,si_dobava,GENI_AKTIVNI,3.1253333333333333,2764.862999999951,0.0,2764.862999999951,0.0,4.688,440.477021860615,2.1973183819999997,137.43815114159923,0.0,580.1124913842046,Fluvius,False,0.0,Fluvius,2764.8630000000003,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_005,15.0,1.0,si_dobava,GENI_AKTIVNI,2.5306666666666664,734.0019999999062,0.0,734.0019999999062,0.0,3.796,117.71346054540601,3.577734286,114.0450405388437,0.0,235.3362353702036,Fluvius,False,0.0,Fluvius,734.002,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_006,15.0,1.0,si_dobava,GENI_AKTIVNI,2.5146666666666664,2343.007999999977,0.0,2343.007999999977,0.0,3.772,362.7932096747955,5.293953322,113.41563051467453,0.0,481.50279351150203,Fluvius,False,0.0,Fluvius,2343.008,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_007,15.0,1.0,si_dobava,GENI_AKTIVNI,3.7119999999999997,4470.987000000004,0.0,4470.987000000004,0.0,5.568,695.2115291783978,4.331076036,160.5165564443305,0.0,860.0591616587975,Fluvius,False,0.0,Fluvius,4470.987,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_008,15.0,1.0,si_dobava,GENI_AKTIVNI,2.6213333333333333,2544.0750000000917,0.0,2544.0750000000917,0.0,3.932,421.71264433019775,5.1913687699999995,117.61170310822601,0.0,544.5157162083946,Fluvius,False,0.0,Fluvius,2544.075,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_009,15.0,1.0,si_dobava,GENI_AKTIVNI,3.7439999999999998,2117.6019999998753,0.0,2117.6019999998753,0.0,5.616,357.69279659358506,6.209520156000001,161.77537766372373,0.0,525.6776944133047,Fluvius,False,0.0,Fluvius,2117.6020000000003,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_010,15.0,1.0,si_dobava,GENI_AKTIVNI,4.762666666666667,3642.9319999999266,0.0,3642.9319999999266,0.0,7.144,600.240011626589,4.71210691,201.84788118749353,0.0,806.7999997242066,Fluvius,False,0.0,Fluvius,3642.9320000000002,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_011,15.0,1.0,si_dobava,GENI_AKTIVNI,2.7626666666666666,1725.482999999911,0.0,1725.482999999911,0.0,4.144,255.27322931799918,5.340313888000001,123.17150026865447,0.0,383.7850434745891,Fluvius,False,0.0,Fluvius,1725.4830000000002,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_012,15.0,1.0,si_dobava,GENI_AKTIVNI,2.925333333333333,2406.080999999918,0.0,2406.080999999918,0.0,4.388,374.31510530978807,0.7953547559999999,129.57051321672972,0.0,504.6809732824947,Fluvius,False,0.0,Fluvius,2406.081,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_013,15.0,1.0,si_dobava,GENI_AKTIVNI,6.541333333333333,12422.630999999907,0.0,12422.630999999907,0.0,9.812,1985.9173128054056,13.108731692000001,271.8174089795846,0.0,2270.843453476896,Fluvius,False,0.0,Fluvius,12422.631000000001,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_014,15.0,1.0,si_dobava,GENI_AKTIVNI,2.5573333333333332,1037.8959999999165,0.0,1037.8959999999165,0.0,3.836,167.5998741688009,4.9773696979999995,115.09405859601095,0.0,287.67130246280016,Fluvius,False,0.0,Fluvius,1037.8960000000002,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_015,15.0,1.0,si_dobava,GENI_AKTIVNI,1.8533333333333333,1023.1449999999934,0.0,1023.1449999999934,0.0,2.78,168.67729812460811,2.8609880599999995,87.39997412567332,0.0,258.93826031028846,Fluvius,False,0.0,Fluvius,1023.1450000000001,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_016,15.0,1.0,si_dobava,GENI_AKTIVNI,6.898666666666667,5211.46699999935,0.0,5211.46699999935,0.0,10.348,851.8181481902558,1.142066758,285.87425405991496,0.0,1138.8344690082179,Fluvius,False,0.0,Fluvius,5211.467,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_017,15.0,1.0,si_dobava,GENI_AKTIVNI,5.541333333333333,3284.891999999941,0.0,3284.891999999941,0.0,8.312,530.8715286815952,1.510144944,232.4792173487806,0.0,764.8608909743965,Fluvius,False,0.0,Fluvius,3284.892,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_018,15.0,1.0,si_dobava,GENI_AKTIVNI,3.888,3504.2690000000716,0.0,3504.2690000000716,0.0,5.832,589.3162702917712,7.125247290000002,167.44007784503657,0.0,763.8815954268981,Fluvius,False,0.0,Fluvius,3504.2690000000002,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_019,15.0,1.0,si_dobava,GENI_AKTIVNI,2.6266666666666665,2097.2210000000136,0.0,2097.2210000000136,0.0,3.94,335.1534312450046,3.462635596,117.82150653914594,0.0,456.43757338019566,Fluvius,False,0.0,Fluvius,2097.221,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_020,15.0,1.0,si_dobava,GENI_AKTIVNI,2.9760000000000004,1330.5979999998603,0.0,1330.5979999998603,0.0,4.464,222.57316400959644,3.142170444,131.56364839319372,0.0,357.27898284680674,Fluvius,False,0.0,Fluvius,1330.5980000000002,0.0,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_PV_001,15.0,1.0,si_samooskrba,GENI_SAMO_AKTIVNI,3.9546666666666668,7158.962802278375,6681.309036036103,7158.962802278375,6681.309036036103,11.046947200000002,-337.8428676167119,2.1523016560999997,170.06262390963656,976.4360333626998,-165.62794205100823,Fluvius_PV,True,30.0,Fluvius_PV,2862.1769999999997,3229.29,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_PV_002,15.0,1.0,si_samooskrba,GENI_SAMO_AKTIVNI,2.6373333333333333,6657.597652706036,6975.355068254114,6657.597652706036,6975.355068254114,11.014947200000002,-479.04680814129296,2.5423628577,118.24111371793423,1027.2481068643,-358.26333156584843,Fluvius_PV,True,30.0,Fluvius_PV,1618.9650000000001,2751.774,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_PV_003,15.0,1.0,si_samooskrba,GENI_SAMO_AKTIVNI,1.8346666666666664,6386.834974113349,7194.290560062102,6386.834974113349,7194.290560062102,11.423666800000001,-555.4487548095101,2.9099836159999994,86.66565987102133,1059.3441620153012,-465.87311132248897,Fluvius_PV,True,30.0,Fluvius_PV,1121.004,2728.031,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_PV_004,15.0,1.0,si_samooskrba,GENI_SAMO_AKTIVNI,2.7439999999999998,7970.862464161454,6876.402677347663,7970.862464161454,6876.402677347663,11.618947200000001,-369.3225240337187,2.6932891017,122.43718866344828,1024.6212422208866,-244.1920462685717,Fluvius_PV,True,30.0,Fluvius_PV,1045.139,754.3109999999999,Aktivni,,,,,,,,,,,,
aktivni,Fluvius_PV_005,15.0,1.0,si_samooskrba,GENI_SAMO_AKTIVNI,3.3946666666666663,6621.325115866295,7266.877544960912,6621.325115866295,7266.877544960912,11.534947200000001,-496.37336152119747,2.4703392266,148.03323639533076,1060.528342117713,-345.8697858992965,Fluvius_PV,True,30.0,Fluvius_PV,1397.6019999999999,2867.209,Aktivni,,,,,,,,,,,,
