Dataset,Household,Tariff,Capacity_kWh,Power_kW,Cost_EUR,Netting_Credit_EUR,Charged_kWh,Discharged_kWh,Stored_Out_kWh,Grid_Charged_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Equivalent_Full_Cycles,EFC_AC_Legacy,N_Steps,First_Step,Last_Step,Contracted_Power_kW,Solve_s
Fluvius_PV,283,Aktivni,30.0,11.0,-135.92350595888274,0.0,8575.7153334459,7739.5829627946,8146.929434520632,6909.826288206499,7939.630288211901,6831.1389175606,0.0,8.876807200000002,271.5643166882373,257.98609875982,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,30.42637300491333
Fluvius_PV,283,Aktivni,40.0,11.0,-226.53929427006852,0.0,10069.3609869875,9087.598279804599,9565.892926110104,8400.8043664931,9430.608366498498,8176.4866593156,0.0,11.678947200000001,239.14732329685285,227.18995699511498,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,32.715476989746094
Fluvius_PV,283,Redni + NM,1.0,0.5,263.248918563957,320.9247258717123,380.57524609338,343.469154999371,361.5464789467064,1.7295193055488767e-15,2334.507845000629,2025.04275390662,0.0,4.665,361.5464813677087,343.469154999371,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,59.26194190979004
Fluvius_PV,283,Redni + NM,2.0,1.0,259.1340615428448,275.2064891045455,669.0584176852499,603.8252274813001,635.6055026118948,3.5197539327569416e-15,2074.1517725187,1736.5595823147498,0.0,4.1899999999999995,317.8027498532206,301.91261374065004,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,60.16435933113098
Fluvius_PV,283,Redni + NM,2.5,1.25,257.3566435573405,256.52345948040045,786.94878833733,710.2212799732999,747.6013473403158,4.131243958038766e-15,1967.7557200267001,1618.66921166267,0.0,3.9524999999999997,299.04053925215584,284.08851198931995,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,59.89625692367554
Fluvius_PV,283,Redni + NM,3.0,1.5,256.28115901078183,241.5262532651013,881.581519301369,795.6273224586,837.5024446932632,4.870236158804886e-15,1882.3496775414,1524.036480698631,0.0,3.715,279.16748133826064,265.2091074862,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,62.280007123947144
Fluvius_PV,283,Redni + NM,4.0,2.0,254.97451499606413,219.1966933019116,1022.4815819053399,922.7896274525699,971.3575025816526,5.142587744533245e-15,1755.1873725474302,1383.1364180946603,0.0,3.4266666800000003,242.8393756739657,230.69740686314248,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,61.418331146240234
Fluvius_PV,283,Redni + NM,5.0,2.5,254.35369117505869,204.9958441153037,1112.08928240284,1003.660577452302,1056.4848183708443,5.460909502374989e-15,1674.316422547698,1293.52871759716,0.0,3.4266666800000003,211.2969636653542,200.73211549046042,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,60.90451407432556
Fluvius_PV,283,Redni + NM,6.0,3.0,253.96789734086374,196.35902576489204,1166.5878143794102,1052.8455024583,1108.2584236403159,5.847752837517817e-15,1625.1314975417,1239.03018562059,0.0,3.4266666800000003,184.70973727506293,175.47425040971666,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,59.55774688720703
Fluvius_PV,283,Redni + NM,7.5,3.75,253.63178315305723,188.92161897749824,1213.5180304702,1095.200022459902,1152.84212890516,6.094083571106523e-15,1582.776977540098,1192.0999695298,0.0,3.4266666800000003,153.71228385678998,146.02666966132026,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,63.27331209182739
