config,scheme,sharing,share,internal_price,battery,znacilni_primer,pay_for_unused,Scenario,Scheme,Sharing,Share,Internal_price,Community_cost_EUR,Shared_kWh,Transferred_kWh,Wasted_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Sum_Peaks_kW,Solve_s,Lazy_rounds,Binaries,Unresolved,block,Battery_kWh
Redni,skupnostna_samooskrba,staticni,1.0,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,1.0,0.05,16002.285295751026,7238.38485420452,7238.38485420452,-4.722852425982638e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.802143096923828,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,dinamicni,1.0,0.05,brez baterije,1,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,15825.374188510592,8724.06,8724.06,-9.857227339059303e-15,90915.52,22361.747000000003,0.0,12.028,114.512,22.58405637741089,0.0,0.0,0.0,E,0.0
Redni,skupnostna_samooskrba,dinamicni,1.0,0.05,brez baterije,3,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,15947.639806312793,8724.06,8724.06,-9.857227339059303e-15,90915.52,22361.747000000003,0.0,12.028,114.512,22.607961177825928,0.0,0.0,0.0,E,0.0
Redni,skupnostna_samooskrba,dinamicni,1.0,0.05,brez baterije,4,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,15960.713055875389,8724.06,8724.06,-9.857227339059303e-15,90915.52,22361.747000000003,0.0,12.028,114.512,22.58341383934021,0.0,0.0,0.0,E,0.0
Redni,souporaba,staticni,0.4,0.05,brez baterije,2,False,,souporaba,staticni,0.4,0.05,17239.96458046174,4683.4744985987845,8944.698800000002,4261.2243014012165,90915.52,22361.747000000003,0.0,12.028,114.512,22.86063766479492,0.0,0.0,0.0,F,0.0
Redni,souporaba,staticni,1.0,0.05,brez baterije,2,False,,souporaba,staticni,1.0,0.05,17641.44928691662,7238.38485420452,16596.9950919216,9358.61023771708,90915.52,16596.9950919216,5764.75190727404,12.028,114.512,23.443778038024902,0.0,0.0,0.0,F,0.0
Redni,souporaba,staticni,0.0,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.0,0.05,16148.238561921207,0.0,0.0,0.0,82956.251797773,11940.322141487935,0.0,9.924,100.896,101.43451881408691,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.1,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.1,0.05,16071.24076037786,1194.0322142446328,1194.0322140411552,-2.0347763074541866e-07,82889.1519157776,11940.322140411552,0.0,9.924,100.896,213.0483741760254,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.2,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.2,0.05,15999.377375424683,2388.064428640409,2388.0644279076487,-7.327602444593258e-07,82844.91342175542,11940.32213953824,0.0,9.924,100.896,231.6899106502533,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.3,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.3,0.05,15932.311405059452,3577.0990619080967,3582.040304413441,4.941242505344282,82828.33685019746,11940.134348044803,0.0,9.924,100.896,242.4567096233368,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.4,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.4,0.05,15874.938200601617,4701.426055820633,4775.077261543452,73.65120572281756,82823.96526234449,11937.693153858629,0.0,9.924,100.896,245.30954384803772,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.5,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.5,0.05,15829.95455364177,5730.714097766742,5963.90935353523,233.19525576848815,82825.89012980183,11927.81870707046,0.0,9.924,100.896,252.16054558753967,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.6,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.6,0.05,15796.499226634794,6657.525884938414,7136.846014033963,479.3201290955499,82827.85904845182,11894.743356723273,0.0,9.924,100.896,258.94105052948,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,0.8,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,0.8,0.05,15755.341093145413,8254.811459787688,9415.623753186508,1160.8122933988209,82820.10192474799,11769.529691483134,0.0,9.924,100.896,288.86087012290955,0.0,0.0,0.0,C,160.0
Redni,souporaba,staticni,1.0,0.05,10 kWh pri vsakem,2,True,,souporaba,staticni,1.0,0.05,15749.41423691686,9545.99815846177,11644.902538631246,2098.9043801694756,82827.72072815723,11644.902538631246,21.713178524,9.924,100.896,300.72923731803894,0.0,0.0,0.0,C,160.0
Redni,skupnostna_samooskrba,staticni,0.0,0.05,10 kWh pri vsakem,2,True,,skupnostna_samooskrba,staticni,0.0,0.05,15389.496161921208,0.0,0.0,0.0,82956.251797773,11940.322141487935,0.0,9.924,100.896,103.08254599571228,0.0,0.0,0.0,C,160.0
Redni,skupnostna_samooskrba,staticni,0.1,0.05,10 kWh pri vsakem,2,True,,skupnostna_samooskrba,staticni,0.1,0.05,15301.914749378922,1194.0322143335015,1194.0322143335015,-5.462728929145691e-15,82888.96638008684,11940.322140664832,0.0,9.924,100.896,210.62811374664307,0.0,0.0,0.0,C,160.0
Redni,skupnostna_samooskrba,staticni,0.2,0.05,10 kWh pri vsakem,2,True,,skupnostna_samooskrba,staticni,0.2,0.05,15219.46286155327,2387.40211813696,2387.40211813696,-6.333807447706646e-16,82844.16932167285,11940.322140524522,0.0,9.924,100.896,232.73328042030337,0.0,0.0,0.0,C,160.0
Redni,skupnostna_samooskrba,staticni,0.3,0.05,10 kWh pri vsakem,2,True,,skupnostna_samooskrba,staticni,0.3,0.05,15141.561018405486,3574.800099667556,3574.800099667556,-9.633176960115175e-15,82826.87224590761,11940.322140297363,0.0,9.924,100.896,244.37040781974792,0.0,0.0,0.0,C,160.0
