Dataset,Household,Paket_ID,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power
Fluvius_EV,2,GENI_AKTIVNI,1919.1944600762004,1684.2931753788002,224.17204970539998,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,GENI_DINAMICNI,1676.7544144223,1427.5063319426,238.5188474877,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,GENI_FIKSNI,1799.3799753962003,1564.4786906988002,224.17204970539998,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,GENI_REDNI,1738.2417676962,1503.3404829987999,224.17204970539998,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,PETROL_AKCIJSKI,1772.4685924272,1523.0741133558,238.66524407939997,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,PETROL_FIKS2026,1802.2569103072003,1552.8624312358002,238.66524407939997,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,PETROL_REDNI,1870.2897247472006,1620.8952456758004,238.66524407939997,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,3,BISOL_DINAMICNI,825.4195570521,624.7621452776,192.71285381050004,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,BISOL_DINAMICNI_PLUS,849.2820886180999,624.7621452776,216.5753853765,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,BISOL_FIKSNI,844.8358373979,644.1784256234,192.71285381050004,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,BISOL_FIKSNI99,772.5812080779,571.9237963034,192.71285381050004,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,BISOL_FIKSNI_VEZAVA,793.5151807579001,592.8577689834001,192.71285381050004,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,ELEN_DINAMICNA,810.5642411115999,602.1478467238,200.4718364238,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,ELEN_FIKSNI,847.0881624369,653.0185661194,186.12503835349997,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,ELEN_ZANESLJIVA,823.7605912369,629.6909949194,186.12503835349997,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,GENI_AKTIVNI,817.7802862651,626.4922122594,183.3435160417,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,GENI_DINAMICNI,807.7827188093999,602.1478467238,197.6903141216,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,GENI_FIKSNI,820.9790689251,629.6909949194,183.3435160417,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,GENI_REDNI,797.6514977251001,606.3634237194001,183.3435160417,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,PETROL_AKCIJSKI,817.0678189086999,611.2865502314,197.83671071329996,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,PETROL_FIKS2026,831.0400250687,625.2587563914001,197.83671071329996,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,3,PETROL_REDNI,854.3919328286999,648.6106641514,197.83671071329996,7.9445579639999995,3824.192,prev1m_cyclic_unbounded
Fluvius_EV,4,BISOL_DINAMICNI,1294.5467785540002,951.8864167526001,341.0297383034,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,BISOL_DINAMICNI_PLUS,1318.4093103888001,951.8864167526001,364.8922701382,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,BISOL_FIKSNI,1400.4310730566,1057.7707112552002,341.0297383034,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,BISOL_FIKSNI99,1283.7487138966,941.0883520952,341.0297383034,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,BISOL_FIKSNI_VEZAVA,1314.6141185366,971.9537567352,341.0297383034,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,ELEN_DINAMICNA,1276.4935403707,926.074195956,348.7887209166999,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,ELEN_FIKSNI,1406.9695732891998,1070.8970272431998,334.44192254800004,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,ELEN_ZANESLJIVA,1367.9618666892002,1031.8893206432,334.44192254800004,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,GENI_AKTIVNI,1356.3620968358,1023.0710728032,331.6604005346,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,GENI_DINAMICNI,1273.7120183469,926.074195956,346.0071988929,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,GENI_FIKSNI,1365.1803446758001,1031.8893206432,331.6604005346,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,GENI_REDNI,1326.1726380758,992.8816140432,331.6604005346,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,PETROL_AKCIJSKI,1350.554063355,1002.7698449492,346.1535949078,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,PETROL_FIKS2026,1372.262074795,1024.4778563892,346.1535949078,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,4,PETROL_REDNI,1412.966393915,1065.1821755092,346.1535949078,1.630623498,6394.706,prev1m_cyclic_unbounded
Fluvius_EV,5,BISOL_DINAMICNI,990.4404919284,674.9134850364,303.55284465,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,BISOL_DINAMICNI_PLUS,1014.3030231985,674.9134850364,327.41537592009996,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,BISOL_FIKSNI,982.5441679178003,667.0171610258003,303.55284465,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
Fluvius_EV,5,BISOL_FIKSNI99,907.3784355978001,591.8514287058001,303.55284465,11.974162241999997,3923.0069999999996,prev1m_cyclic_unbounded
