Dataset,Household,Option,Paket_ID,Variant,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power,Per_Group
Fluvius,3,BISOL_FIKSNI_VEZAVA@1T,BISOL_FIKSNI_VEZAVA,1T,631.0358368857001,440.74156392780003,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,ELEN_DINAMICNA,ELEN_DINAMICNA,-,634.7729051426,436.719649293,192.1870534376,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,670.4948255907001,486.78836808980003,177.84025508890002,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,673.0091028507,489.30264534979995,177.84025508890002,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,653.0268106907,469.3203531898,177.84025508890002,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,655.5410879507,471.8346304498,177.84025508890002,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,GENI_AKTIVNI,GENI_AKTIVNI,-,632.1575222973,451.2325868298,175.05873305549997,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,GENI_DINAMICNI,GENI_DINAMICNI,-,631.9913846164,436.719649293,189.4055329114,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,GENI_FIKSNI@2T,GENI_FIKSNI,2T,650.2452886573,469.3203531898,175.05873305549997,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,GENI_FIKSNI@1T,GENI_FIKSNI,1T,652.7595659172999,471.8346304498,175.05873305549997,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,GENI_REDNI@2T,GENI_REDNI,2T,632.7772737573,451.8523382898,175.05873305549997,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,GENI_REDNI@1T,GENI_REDNI,1T,635.2915510173001,454.36661554980014,175.05873305549997,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,PETROL_AKCIJSKI@2T,PETROL_AKCIJSKI,2T,651.1673222179,455.7491920788,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,PETROL_AKCIJSKI@1T,PETROL_AKCIJSKI,1T,653.4530288179,458.0348986788,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,PETROL_FIKS2026@2T,PETROL_FIKS2026,2T,661.4195604979001,466.00143035880006,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,PETROL_FIKS2026@1T,PETROL_FIKS2026,1T,663.9338377579,468.51570761880004,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,PETROL_REDNI@2T,PETROL_REDNI,2T,679.1161460579,483.6980159188,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,PETROL_REDNI@1T,PETROL_REDNI,1T,681.4018526579001,485.98372251880005,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_DINAMICNI,BISOL_DINAMICNI,-,602.7286351345001,444.19610497220003,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
Fluvius,4,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,626.5911667005001,444.19610497220003,178.70213146630005,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded,5
